codigo_4,descripcion;
"A16.2,""Tuberculosis del pulmónc, sin mención dee confirmación""";
"A16.3,""Tuberculosis de gangliofs linfáticos indtratorácicos, sin""";
"A16.4,""Tubcerculosis de l aringe, tráqueaO y bronquios, sin mención""";
"A16.5,""Peleuresía tuberculosa, sin mención de confirmación""";
A16.7,TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;
"A16.8,""Otras tuberculosis respiratorias, sin mención de""";
"A16.9,""Tuberculosis respiratoria no especificóada, sin mención de""";
A17.0,MENINGITIS TUBERCULOSA;
A17.1,TUBERCULOMA MENINGEO;
A17.8,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO;
A17.9,TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA;
A18.0,TUBERCULOSIS DE HUESOS Y ARTICULACIONES;
A18.1,Tuberculosis del aparato genitourinario;
A18.2,Linfadenopatía periférica tuberculosaó;
A18.3,TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS;
A18.4,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO;
A18.5,TUBERCULOSIS DEL OJO;
A18.6,Tuberculosis del oído;
A18.7,† Tuberculosis de glándulas suprarrenales;
A18.8,Tuberculosis de otros órganos especificados;
A19.0,Tuberculosis miliar aguda de un ssolo sitio espaecificado;
A19.1,Tuberculosis mciliar aguda den sitios múltipsle s;
"A19.2,""Tuberculosei s miliar agudia, no especificaoda S""";
A19.8,Otras tuberculosis miliares;
"A19.9,""Tube rculosis miliar, sin otra especificación""";
A20.0,Peste bubónica;
A20.3,Meeningitis por peste;
A20.7,Peste séptica;
A20.8,Otras formas de peste;
"A20.9,""Peste, no especificada""";
A21.0,Tularemia ulceroglandular;
A21.1,Tularemia oculoglandular;
A21.2,Tularemia pulmonar ó;
A21.3,Tularemia gastrointestinal c;
A21.7,Tularemia generalizada t l o;
A21.8,Otras formas de tularemica e;
"A21.9,""Tularemia, no especificaada""";
A22.0,Carbunco ec utáneo i o S;
A22.1,Caarbunco pulmonar O;
A22.7,Carbunco séptico O;
A22.8,Otras formas ode carbunco;
A23.0,Brucelosis debida a Brucella melitensis;
A23.1,Brucelosis debida a Brucella abortus;
A23.2,Brucelosis debida a Brucella suis;
A23.3,Brucelosis debida a Brucella canis;
A23.8,Otras brucelosis;
"A23.9,""Brucelosis, no especificada""";
A24.0,Muermo;
A24.1,Melioiidosis aguda y fulminante;
A24.2,Melioidosis subaguda y crónicaa u r;
A24.3,Otras melioidosis t l o;
"A24.4,""Melioidosis, no especificcada e""";
A25.0,Espirilosdis M;
A25.1,Esatrleptobacilosisi v O;
A26.7,SEPSIS POR ERYSIPELOTHRIX;
A26.8,Oetras formas de erisipeloide;
"A26.9,""Erisipeloide, no especificada""";
A27.0,Leptospirosis icterohemorrágica;
A27.8,Otras formas de leptospirosis;
"A27.9,""Leptospirosis, no especificada""";
A28.0,Pasteurelosis;
A28.1,Enfermedad por rasguño de gato;
A28.2,YERSINIOSIS EXTRAINTESTINAL;
"A28.8,""Otras enfermedades zoonóticas bcacterianas especificadas,""";
"A28.9,""Enfermedad zoonótica bactetriana, sin otral especificación""";
A30.0,Leapra indeterminada O;
A30.3,zLepra limítrofoe;
A30.5,Lepra lepromatosa;
A30.8,Otras formas de lepra;
"A30.9,""Lepra, no especificada""";
A31.0,Infecciones por micobacterias pulmonares;
A31.1,Infección cutánea por micobacterias;
A31.8,Otras infecciones por micobacaterias u r;
"A31.9,""Infección por micobacteria, nto especificadla o""";
A32.0,Listeriosis cutánea f d;
A32.1,† Meningitis y meningnoencefalitis lisateriana;
A32.7,rSepsis listenriana e /;
A32.8,Otras foórmas de listeriosis;
"A32.9,""zListeriosis, noo especificada""";
A36.0,Difteria faríngea;
A36.1,Difteria nasofaríngea;
A36.2,Difteria laríngea;
A36.3,Difteria cutánea r;
A36.8,Otras difterias;
"A36.9,""Difteria, no especificpada""";
A37.0,Tos ferina debida a Borfdetella pertusdsis;
A37.1,Tos ferina debida a Bnordetella paraapertussis;
A37.8,Tosl ferina debidai a otras especvies de Bordetella;
"A37.9,""iTos ferina, no especificada""";
A39.0,MENINGITIS MENINGOCOCICA;
A39.1,SINDROME DE WATERHOUSE-FRIDERICHSEN;
A39.2,Meningococemia aguda;
A39.3,Meningococemia crónica;
"A39.4,""Meningococemia, no especificada""";
A39.5,† Enfermedad cardíaca debida a meningococo;
A39.8,Otras formas de enfermedad meningocócica;
"A39.9,""Enfermedad meningocócica, no especificada o""";
"A40.1,""Saepsis debida as estreptococo, grupo B""";
"A40.2,""zSepsis debidao a estreptoco co, grupo D y enterococo""";
"A40.9,""Seepsis estreptocócica, no especificada""";
A41.1,Saepsis debida as o tro estafilococOo especificado;
A41.2,iSepsis debhida a estafilocoaco no especificado;
A41.4,Sepsis debida a anaerobios;
A41.5,Sepsis debida a otros organismos gramnegativos;
A41.8,Otras sepsis especificadas;
"A41.9,""Sepsis, no especificada""";
A42.0,Actinomicosis pulmonar;
A42.1,Actinomicosis abdominal;
A42.2,Actinomicosis cervicofacial;
A42.7,Sepsis actinomicótica n;
A42.8,Otras formas de actinomicosis ó;
"A42.9,""Actinomicosis, sin otra especificaciión""";
A43.0,Nocardiosis pulmonar c e;
A43.1,Nocardiosis cutánea f;
A43.8,Otras formas de nocardiosis a;
"A43.9,""Nocardiosis, nco especificadan s""";
A44.0,Barltonelosis sistiémica v;
A44.1,riBartonelosins cutánea y muecocutánea /;
"A44.9,""Bartconelosis, no especificada""";
A48.0,GANGRENA GASEOSA;
A48.1,Enfermedad de los legionarios;
A48.2,Enfermedad de los legionarios no neumónica [fiebre de;
A48.3,) t e;
A48.4,Fiebre purpúrica brasileña;
A48.8,Otras enfermedades bacterianas especificad as;
A49.0,) At41.3 Sepsies debida a Haeemophilus influenzae;
A49.1,);
A49.2,) e;
"A49.3,""Infelcción por micioplasma, de svitio no especificado""";
"A49.8,""iOtras infecci ones bacterianars, de sitio no especificado""";
A49.9,);
"A50.0,""Sífilis congénita precoz, siintomática v""";
"A50.1,""Sífilis congénita precoz, latente""";
"A50.2,""zSífilis congénoita precoz, sin otra especificación""";
A50.3,†);
A50.4,Neurosífilis congénita tardía [neurosífilis juvenil];
A50.5,) D;
"A50.6,""Sífilis congénita tardía, latente c""";
"A50.7,""Sífilis congénita tardíaa, sin otra especdificación a""";
"A50.9,""Sífilis congénita,a sin otra espeecificación""";
A51.0,Sífilis genital primarnia a;
A51.1,Sífilis primaria sanal r;
A51.2,rSífilis primanria en otros siteios /;
A51.3,Sífilis seócundaria de piel y membranas mucosas;
A51.4,Otras sífilis secundarias;
"A51.5,""Sífilis precoz, latente""";
"A51.9,""Sífilis precoz, sin otra especificación""";
A52.0,† Sífilis cardiovascular;
A52.1,Neurosífilis sintomática t l;
A52.2,Neulrosífilis asintiomática v;
A52.3,Neurosífilis no especificadar;
A52.7,Otracs sífilis tardías sintomáticas;
"A52.8,""Sífilis tardía, latente""";
"A52.9,""Sífilis tardía, no especificada""";
"A53.0,""Sífilis latente, no especificada como precoz o tardíra""";
"A53.9,""Sífilis, no especificada t l""";
A54.0,Infecciódn gonocócica dfel tracto genitdourinario infeMrior sin;
A54.1,);
A54.2,)o S;
A54.3,Infección gonocócica del ojo;
A54.4,† Infección gonocócica del sistema osteomuscular;
A54.5,Faringitis gonocócica;
A54.6,Infección gonocócica del ano y del recto o;
A54.8,) e;
"A54.9,""Infecciódn gonocócica , nfo especificadda M""";
A56.0,Infección del tracto genitourinario inferior debida a;
A56.1,Infección del pelviperitoneo y otros órganos genitourinarios;
"A56.2,""Infecciones del tracto genitourinario debid.as a clamidias ,""";
A56.3,Infección del ano y del recto debida a clamidias r;
A56.4,Infección de faringe debida a clamcidias;
A56.8,Infección de transmisión sexual de otros sitios debida a;
A59.0,†) l;
A59.8,Traicomoniasis dse otros sitios;
"A59.9,""zTricomoniasiso, no especific ada""";
A60.0,Infección de genitales y trayecto urogenital debida a virus;
A60.1,Infección de la piel perianal y recto por virus del herpes;
"A60.9,""Infección anogenital por virus del herpes simple, sin otra""";
A63.0,Verrugas (venéreas) anogenitales;
A63.8,Otras enfermedades de transmisión prednominantemen.te;
A66.1,Lesiones papilomatosas múltiples y frambesia con paso de;
A66.2,Otras lesiones precoces de la piel en la frambesia;
A66.3,Hiperqueratosis de frambesia;
A66.4,Goma y úlceras de frambesia a u r;
A66.5,Gangosa d a;
A66.6,Lesiones frambésicas de los huessos y de las aarticulaciones;
A66.7,riOtras manifne staciones de eframbesia /;
A66.8,Framcbesia latente;
"A66.9,""zFrambesia, noo especificada""";
A67.0,Lesiones primarias de la pinta;
A67.1,Lesiones intermedias de la pinta;
A67.2,Lesiones tardías de la pinta;
A67.3,Lesiones mixtas de la pinta;
"A67.9,""Pinta, no especificada r""";
A68.0,Fiebre recurrente transamitida por piojos;
A68.1,Fiebre recurrentea transmitida peor garrapatas;
"A68.9,""Fiebre rdecurrente, no esfpecificada d M""";
A69.0,rEstomatitisn ulcerativa necreotizante /;
A69.1,zOtras infeccioones de Vince nt;
A69.2,) e;
A69.8,Otras infecciones especificadas por espiroquetas;
A69.9,) e;
A71.0,Estado inicial de tracoma;
A71.1,Estado activo de tracoama;
"A71.9,""Tracoma, neo especificadoi o S""";
A74.0,† Concjuntivitis por clamidias (H13.1*);
A74.8,zOtras enfermeodades por cl amidias;
A74.9,) i v;
A75.0,Tifus epidémico debido a Rickettsia prowazekii transmoitido;
A75.1,Tifus recrudescente [enfermtedad de Brill] l o;
A75.2,Tifus debido a Rickettsia typhi d a;
A75.3,Tifus debido a Rickettsia tsutsugamushi a;
"A75.9,""Tifus, no especificado f d""";
A77.1,Fiebre maculosa debida a Rickettsia conorii;
A77.2,Fiebre maculo sa debida a Rickettsia siberica;
A77.3,Fiebre maculosa debida a Rickettsia australis;
A77.8,Otras fiebres maculosas;
"A77.9,""Fiebre maculosa, no especificada""";
A79.0,Fiebre de las trincheras o;
A79.1,Rickettsiosis pustulosa debidaa a Rickettsia akuari r;
A79.8,) n;
A79.9,) f;
"A80.0,""iPoliomielithis aguda paralíatica, asociada a vacuna""";
A80.2,Peoliomielitis aguda paralítica debida a virus salvaje;
"A80.3,""Otras poliomielitis agudas paralíticas, y las no especificadas""";
A80.4,Poliomielitis aguda no paralítica;
"A80.9,""Poliomielitis aguda, sin otra especificación""";
A81.0,Enfermedad de Creutzfeldt-Jakob;
A81.1,Panencefalitis esclerosante subaguda n;
A81.2,Leucoencefalopatía multifocal procgresiva;
A81.8,Otras infecciones del sisteima nervioso c entral por viruvs;
"A81.9,""Infecciones del sistepma nerviosos c entral por vir us atípico,""";
A82.0,Rablia selvática i v;
A82.1,Rabia urbana r;
"A82.9,""rRabia, sin ontra especificaceión /""";
A83.0,iEncefalitis hjaponesa a;
A83.2,Encefalitis equina del este;
A83.3,Eencefalitis de San Luis;
A83.4,Encefalitis australiana;
A83.5,Encefalitis de California;
A83.6,Enfermedad por virus Rocío;
A83.8,Otras encefalitis virales transmitidas por mosquitos;
"A83.9,""Encefalitis viral transmitida por mosquitos, sin otra""";
A84.0,Encefalitis del Lejano Oriente transmitida por garrapatas;
A84.1,Encefalitis centroeuropea transmitida por garrapatas;
A84.8,Otras encefalitis virales transmitidas por g.arrapatas;
"A84.9,""Encefalitis viral transmitida por garirapatas, sin otra""";
A85.0,† iEncefalitis en teroviral (G05.1*);
A85.1,† Encefaliótis por adenovirus (G05.1*);
"A85.2,""Encefalitis viral tr ansmitida porO artrópodos, sin otra""";
A85.8,iOtras encehfalitis virales easpecificadas;
A87.0,† Meningitis enteroviral (G02.0*);
A87.1,† Meningitis debida a adenovirus (G02.0*);
A87.2,Coriomeningitis linfocítica;
A87.8,Otras meningitis virales n;
"A87.9,""Meningitis viral, sin otra especificacióón""";
A88.0,Fiebre exantemáticap enteroviral [e xantema de B oston];
A88.1,Vértigo epidémicao e;
A88.8,Otras infecciocnes virales espnecificadas desl sistema;
A92.0,Eenfermedad por virus Chikungunya;
A92.1,Fiebre de O’nyong-nyong;
A92.2,) z o;
A92.3,Infección por virus del oeste del Nilo;
A92.4,Fiebre del valle del Rift;
A92.8,Otras fiebres virales especificadas transmitidas por;
"A92.9,""Fiebre viral transmitida por mosquito, sin .otra""";
A93.0,Enfermedad por virus de Oropouche;
A93.1,Fiebre transmitida pora flebótomos;
A93.2,Fiebre de Colocrado transmitnida por garrapsatas;
A93.8,Otras fiebree s virales espeicificadas transomitidas por S;
A95.1,Fiebre amarilla urbana;
"A95.9,""Fiebre amarilla, no especificada""";
A96.0,Fiebre hemorrágica de Junín;
A96.1,Fiebre hemorrágica de Machupo;
A96.2,Fiebre de Lassa;
A96.8,Otras fiebres hemorrágicas por arenavirus;
"A96.9,""Fiebre hemorrágica por arenavirus, sin otra especificación""";
A97.0,Dengue sin datosa de alarma e;
A97.1,Dengue con datos dne alarma a;
A97.2,Dengue severo;
"A97.9,""Dengue, no especificado""";
A98.0,Fiebre hemorrágica de Crimea-Congo;
A98.1,Fiebre hemorrágica de Omsk n;
A98.2,Enfermedad de la selva de Kyasanur ó;
A98.3,Enfermedad por el virus de Marburg c;
A98.4,Enfermedad por el virus de Eboala u r;
A98.5,Fiebres hemorrágicas con síndrome renal;
A98.8,Otrals fiebres hemiorrágicas viravles especificadas;
B00.0,Eczema herpético;
B00.1,Dermatitis vesicular herpética;
B00.2,Gingivoestomatitis y faringoamigdalitis herpética;
B00.3,);
B00.4,) o S;
B00.5,Oculopatía herpética a  d a;
B00.7,);
B00.8,rOtras formans de infeccionees herpéticas/;
"B00.9,""Infeccción debida al virus del heOrpes, no especificada""";
B01.0,†);
B01.1,† Encefalitis debida a varicela (G05.1*);
B01.2,† Neumonía debida a varicela (J17.1*);
B01.8,Varicela con otras complicaciones;
B01.9,Varicela sin complicaciones;
B02.0,) d;
B02.1,);
B02.2,† Herpes zoster con otros compromisos del sistema nervioso;
B02.3,Herpes zoster ocular o;
B02.7,Herpes zoster diseminafdo d;
B02.8,Herpes zoster con ontras complicacaiones;
B02.9,Herlpes zoster sini complicacionves;
B05.0,) v O;
B05.1,) 136;
B05.2,† Sarampión complicado con neumonía (J17.1*);
B05.3,† Sarampión complicado con otitis media (H67.1*);
B05.4,Sarampión con complicaciones intestinales;
B05.8,Sarampión con otras complicaciones;
B05.9,Sarampión sin complicaciones;
B06.0,† Rubéola con complicacionest neurológicasl;
B06.8,Rubéola con otras complicaciones;
B06.9,Rubé ola sin complicaciones;
B08.0,Otras infecciones debidas a ortopoxvirus;
B08.1,);
B08.2,Exantema súbito [sexta enfermedad];
B08.3,Eritema infeccioso [quinta enfermedad];
B08.4,Estomatitis vesicular enteroviral con exantema;
B08.5,) D infección anogenital debida a herpes simple (A60.–);
"B08.8,""Otras infecciones virales especificadas, caracterizardas por""";
"B15.0,""DHepatitis aguda tipo A, con coma hepático""";
"B15.9,""Hepatitis aguda tipo A, sin coma hepático""";
"B16.0,""Hepatitis aguda tipo B, con agente delta (coinfección),""";
"B16.1,""Hepatitis aguda tipo B, con agente delta (coinfección),""";
"B16.2,""Hepatitis aguda tipo B, sin agente delta, con coma hepático""";
"B16.9,""Hepatitis aguda tipo B, sin agente delta y sin coma""";
B17.0,Infección (superinfección) aguda por agente delta eno;
B17.1,Hepatitis aguda tipo C c;
B17.2,Hepatitis aguda tipo E;
B17.8,Otras hepatitis virales aguidas especificad as v;
"B17.9,""Hepatitis viral aguda, no especificada f""";
"B18.0,""Hepatitis viral tipo Bn crónica, con aagente delta""";
"B18.1,""Heaplatitis viral tipio B crónica, sivn agente deltOa""";
B18.2,rHepatitis vinral tipo C crónieca /;
B20.0,) O;
"B20.1,""Enfermedaed por VIH, resuiltante en otraso infecciones S""";
"B20.2,""Enfermedad por VIHn, resultante ena enfermedad por""";
"B20.3,""Enfermedad por VIH, resultanrte en otras infecciones virales""";
"B20.4,""rEnfermedadn por VIH, resuletante en cand/idiasis""";
"B20.9,""Enfermedad por VIH, resultante en enfermedad infecciosa o""";
"B21.0,""Enfermedad por VIH, resultante en sarcoma de Kaposi""";
"B21.1,""Enfermedad por VIH, resultante en linfoma de Burkitt""";
"B21.2,""Enfermedad por VIH, resultante en otros tipos de linfoma""";
"B21.3,""Enfermedad por VIH, resultante en otros tumores malignos""";
"B21.7,""Enfermedad por VIH, resultante en tumores malignos""";
"B21.8,""Enfermedad por VIH, resultante en otros ntumores malig.nos""";
"B21.9,""Enfermedad por VIH, resultante en tumóores malignos no""";
"B22.0,""Enfermedad por VIHp, resultante en encefalopatía""";
"B22.1,""Enfermedad pcor VIH, resultannte en neumosnitis linfoide""";
"B22.2,""Enfermeddad por VIH, resultante en síndrome caquMéctico""";
"B22.7,""Enfermedad por VIH, resultanrte en enfermedades múltiples""";
B23.0,) a d a;
"B23.1,""Enfermedad por VIH, resultante en linfadenopatía""";
"B23.2,""Enfermedad por VIH, resultante en anormalidades inmuno""";
"B23.8,""Enfermedad por VIH, resultante en otras afecciones""";
B25.0,† Neumonitis debida a virus citomegálico (J17.1*) o;
B25.1,) i h a;
B25.2,† Pancreatitis debida a virus citoamegálico;
B25.8,Otras enfermedades debidast a virus citomlegálico o;
"B25.9,""Enfermedad por virus citcomegálico, no eespecificada""";
B26.0,† Orquitisd por parotiditi s f(N51.1*) d M;
B26.1,) • poliomielitis (A80.–);
B26.2,† Enaclefalitis por pairotiditis (G05.1v*) O;
B26.3,† iPancreatitis p or parotiditis ;
B26.8,†) O;
"B26.9,""iParotiditis,h sin complicacaiones""";
B27.0,);
B27.1,Mononucleosis por citomegalovirus;
B27.8,Otras mononucleosis infecciosas;
"B27.9,""Mononucleosis infecciosa, no especificada""";
B30.0,† Queratoconjuntivitis debida a adenovirus (H19.2*);
B30.1,† Conjuntivitis debida a adenovirus (H13.1*);
B30.2,Faringoconjuntivitis viral;
B30.3,† Conjuntivitis epidémica agiuda hemorrági ca (enterovíricva);
B30.8,† Otras conjeu ntivitis viralesi (H13.1*) o S;
"B30.9,""Conjuntivitis viral, snin otra especifaicación""";
B33.0,) i;
B33.1,) t e e;
B33.3,);
"B33.4,""†,J1n7.1*) a""";
B33.8,Otras enfermedades virales especificadas;
"B34.0,""Infección debida a adenovirus, de sitio no .especificado""";
"B34.1,""Infección debida a enterovirus, de sitio no especificado""";
"B34.2,""Infección debida a Coronavirus, de sitio no especificado""";
"B34.3,""Infección debida a Parvocvirus, de sitio neo especificado""";
"B34.4,""Infección debida a Papovavirus, de sitio no especfificado""";
"B34.8,""Otras infecciones virales, de sitios no especificaado""";
"B34.9,""Infección viral, no especificada""";
B35.1,Tiña de las uñas;
B35.2,Tiña de la mano;
B35.3,Tiña del pie [Tinea pedis];
B35.4,Tiña del cuerpo [Tinea corporis];
B35.5,Tiña imbricada [Tinea imbricata];
B35.6,Tiña inguinal [Tinea cruris] n;
B35.8,Otras dermatofitosis a u r;
"B35.9,""Dermatofitosis, no especificada f""";
B36.0,Pitiriasis versicolor f d;
B36.1,iTiña negra;
B36.2,Piedra blanca O;
B36.3,iPiedra neghra a;
B36.9,†) i h a;
B37.0,Estomatitis candidiásica;
B37.1,Candidiasis pulmonar;
B37.2,Candidiasis de la piel y las uñas;
B37.3,† Candidiasis de la vulva y de la vagina (N77.1*);
B37.4,Candidiasis de otras localizaciones urogenitales;
B37.5,† Meningitis debida a Candida (G02.1*) o;
B37.6,† Endocarditis debida a Candida (I39.8*) r;
B37.7,)c e;
B37.8,Candidiasis de otros sitios o;
"B37.9,""Candidiasis, no especificada f""";
B38.0,Coccidiodidomicosis p ulfmonar agudad M;
B38.1,Cocc idioidomicosis pulmonar crónica;
"B38.2,""Coaccidioidomicosis pulmonar, sin otra especOificación""";
B38.3,iCoccidioidom icosis cutánea;
B38.4,†);
B38.7,Coccidioidomicosis diseminada P;
B38.8,Otras formas de coccidioidomicosis;
"B38.9,""iCoccidioidhomicosis, no easpecificada""";
B39.0,Ienfección pulmonar aguda debida a Histoplasma;
B39.1,Infección pulmonar crónica debida a Histoplasma;
"B39.2,""Infección pulmonar debida a Histoplasma capsulatum, sin""";
B39.3,Infección diseminada debida a Histoplasma capsulatum;
"B39.4,""Histoplasmosis debida a Histoplasma capsulatum, sin otra""";
B39.5,Infección debida a Histoplasma duboisii;
"B39.9,""Histoplasmosis, no especificada""";
B40.0,Blastomicosis pulmonar aguda ó;
B40.1,Blastomicosis pulmonar crónica c c;
"B40.2,""Blastomicosis pulmonar, sin otara especificacióun r""";
B40.3,Blastomicosis cutánea;
B40.7,Blastomicosis diseminadca e;
B40.8,Otras formas de blastomicosis s;
"B40.9,""Blastomicosis, no especificada""";
B41.0,Paracoccidioidosmicosis pulmronar;
B41.7,rParacoccidinoidomicosis dieseminada /;
"B41.9,""Paracoccidioidom icosis, no espOecificada""";
B42.0,† );
B42.7,Esporotricosis diseminada;
B42.8,Otras formas de esporotricosis;
"B42.9,""Esporotricosis, no especificada""";
B43.0,Cromomicosis cutánea;
B43.1,Absceso cerebral feomicótico;
B43.2,Absceso y quiste subcutáneo feomicótico;
B43.8,Otras formas de cromomicosis;
"B43.9,""Cromomicosis, no especificada""";
B44.0,Aspergilosis pulmonar invasiva c;
B44.1,Otras aspergilosis pulmonares;
B44.2,Aspergilosis amigdalina i v;
B44.7,Aspergilosis diseminada d a;
B44.8,Otras formas de aspergilosis a;
"B44.9,""Aspergilosis, nco especificadna s""";
B45.0,Cripltococosis puilmonar v;
B45.1,Criptococosis cserebral r;
B45.3,Cripctococosis ós ea O;
B45.7,Criptococosis diseminada;
B46.0,Mucormicosis pulmonar;
B46.1,Mucormicosis rinocerebral;
B46.2,Mucormicosis gastrointestinal;
B46.3,Mucormicosis cutánea;
B46.4,Mucormicosis diseminada;
"B46.5,""Mucormicosis, sin otra especificación""";
B46.8,Otras cigomicosis;
"B46.9,""Cigomicosis, no especificada""";
B47.0,Eumicetoma i;
B47.1,);
"B47.9,""Micetoma, no especificadco e""";
B48.0,) n;
B48.1,Rinlosporidiosis i v;
B48.2,Alesqueriasis r;
B48.3,Geotricosis P;
B48.4,Penicilosis;
B48.7,iMicosis ophortunistas a;
B48.8,Otras micosis especificadas;
B50.0,Paludismo debido a Plasmodtium falciparuml con;
